gender,city_category,occupation,stay_years,marital_status,purchase_amount,quantity,product_category,payment_method,age_group
F,A,15,3,1,744.72,1,Casa,Cartao_Credito,55+
F,B,9,2,0,377.03,3,Beleza,Cartao_Debito,51-55
F,A,19,0,1,730.83,5,Casa,Cartao_Credito,55+
M,C,3,3,1,447.84,5,Casa,Cartao_Credito,36-45
F,C,14,0,0,1274.3,4,Beleza,PIX,55+
F,B,3,1,0,779.49,3,Beleza,Cartao_Credito,0-17
F,C,11,3,0,277.17,5,Roupas,Dinheiro,46-50
M,C,10,4,0,1633.41,1,Esportes,Dinheiro,36-45
M,A,9,2,0,114.29,4,Alimentos,Dinheiro,46-50
M,B,13,4,1,591.35,1,Eletronicos,Cartao_Debito,55+
F,B,17,4,1,265.67,4,Casa,PIX,55+
M,A,6,2,1,1248.01,2,Esportes,Cartao_Credito,46-50
M,B,17,0,1,469.51,4,Casa,Cartao_Debito,55+
M,A,3,3,0,250.57,4,Casa,Cartao_Credito,18-25
F,C,6,0,0,343.81,5,Roupas,Dinheiro,26-35
M,B,6,4,1,262.87,4,Alimentos,Cartao_Credito,36-45
F,C,20,1,1,335.81,5,Beleza,PIX,55+
F,B,2,3,1,331.23,1,Roupas,Cartao_Debito,36-45
F,A,8,3,0,257.06,2,Beleza,PIX,36-45
M,C,8,2,0,474.39,3,Esportes,PIX,26-35
F,A,16,4,1,510.17,1,Casa,Cartao_Credito,55+
F,A,10,3,0,221.9,1,Beleza,PIX,36-45
F,B,20,4,0,149.16,1,Esportes,Boleto,55+
M,B,15,0,0,486.18,4,Esportes,PIX,51-55
M,B,14,2,1,555.1,3,Alimentos,Cartao_Credito,55+
M,A,15,4,0,625.24,4,Eletronicos,Cartao_Debito,51-55
M,B,3,4,1,561.55,5,Eletronicos,Cartao_Credito,26-35
M,A,9,2,0,1036.53,1,Roupas,Cartao_Credito,26-35
M,A,12,0,1,733.8,5,Alimentos,Cartao_Credito,55+
M,B,4,1,0,2014.04,2,Casa,Cartao_Credito,26-35
F,A,2,2,0,2592.53,3,Beleza,Cartao_Credito,0-17
M,A,2,3,0,140.49,5,Esportes,PIX,0-17
F,B,16,4,0,107.96,2,Roupas,Dinheiro,51-55
F,C,13,0,1,401.64,5,Beleza,PIX,46-50
M,A,5,1,0,545.96,3,Eletronicos,Cartao_Credito,18-25
F,B,15,1,1,385.47,1,Casa,PIX,55+
M,A,14,4,1,615.32,5,Esportes,Cartao_Debito,55+
F,C,17,0,0,343.04,1,Roupas,PIX,51-55
M,A,19,1,0,266.04,4,Casa,PIX,51-55
F,A,18,1,1,291.27,3,Esportes,PIX,46-50
M,B,3,0,1,357.77,1,Esportes,PIX,26-35
M,A,16,3,1,669.22,3,Esportes,Cartao_Credito,55+
M,A,8,2,1,301.25,2,Eletronicos,Dinheiro,46-50
F,A,8,2,1,339.21,1,Roupas,Cartao_Credito,36-45
F,B,13,4,0,568.0,3,Roupas,Cartao_Credito,51-55
M,B,12,2,1,358.07,1,Roupas,PIX,55+
M,B,8,1,0,788.42,3,Esportes,PIX,18-25
M,C,20,1,1,232.36,2,Eletronicos,Dinheiro,51-55
M,B,3,4,0,204.01,5,Esportes,PIX,26-35
M,C,2,2,0,484.34,5,Eletronicos,Boleto,18-25
M,C,0,0,1,514.18,5,Alimentos,PIX,36-45
F,C,17,3,1,240.09,5,Roupas,PIX,51-55
F,C,8,3,1,903.39,1,Roupas,PIX,51-55
M,B,9,1,1,1280.44,3,Roupas,Cartao_Credito,36-45
F,A,13,2,0,276.8,2,Beleza,PIX,46-50
M,B,9,2,0,984.74,1,Esportes,Boleto,36-45
F,A,12,0,1,96.61,2,Alimentos,Cartao_Credito,55+
M,B,1,0,0,769.44,3,Casa,Cartao_Credito,0-17
F,A,3,3,0,241.13,2,Beleza,Cartao_Debito,0-17
F,A,19,3,1,724.62,1,Alimentos,Cartao_Credito,55+
F,C,9,3,0,226.61,3,Casa,Dinheiro,26-35
M,B,3,1,0,387.19,1,Esportes,Boleto,18-25
F,B,7,2,1,248.12,1,Beleza,PIX,36-45
M,B,7,4,0,354.84,3,Esportes,Boleto,18-25
M,B,5,1,1,1209.49,1,Esportes,Cartao_Credito,46-50
F,C,6,3,0,378.13,5,Casa,Cartao_Debito,18-25
M,B,15,0,0,1431.07,5,Eletronicos,Cartao_Credito,51-55
F,B,2,0,0,320.06,5,Roupas,PIX,18-25
F,B,6,4,1,987.38,1,Roupas,Cartao_Credito,26-35
M,B,9,0,1,152.11,3,Casa,Cartao_Debito,51-55
F,B,11,3,1,339.71,5,Casa,Cartao_Debito,51-55
M,C,18,2,0,292.46,3,Esportes,PIX,55+
M,B,19,4,1,1014.98,2,Alimentos,Cartao_Debito,55+
M,B,6,2,0,450.86,5,Brinquedos,Dinheiro,36-45
F,B,11,3,1,115.26,2,Beleza,Cartao_Debito,51-55
M,B,0,4,1,183.81,5,Eletronicos,PIX,36-45
M,C,12,4,0,219.73,1,Eletronicos,Cartao_Debito,46-50
M,C,3,3,0,706.58,4,Esportes,Cartao_Credito,18-25
F,B,1,0,0,653.93,1,Beleza,Cartao_Credito,0-17
F,B,14,0,1,336.89,5,Casa,PIX,51-55
F,B,3,2,1,290.29,2,Beleza,PIX,26-35
F,A,10,3,0,620.07,1,Roupas,Cartao_Credito,36-45
F,B,2,3,1,204.85,5,Alimentos,Dinheiro,46-50
M,C,15,3,1,530.91,5,Esportes,Cartao_Credito,55+
M,B,16,0,0,504.47,5,Alimentos,PIX,46-50
F,A,12,0,1,342.15,3,Alimentos,Cartao_Debito,55+
F,C,17,0,0,512.14,1,Roupas,Cartao_Credito,51-55
M,C,9,2,0,428.91,2,Casa,PIX,36-45
M,A,3,3,0,543.73,1,Eletronicos,Cartao_Credito,26-35
F,B,3,0,0,181.19,1,Beleza,Cartao_Debito,18-25
M,B,4,4,0,583.3,1,Esportes,Cartao_Credito,18-25
F,C,4,1,0,746.92,3,Esportes,Cartao_Credito,18-25
M,A,6,3,0,489.1,4,Esportes,Dinheiro,18-25
M,A,4,3,1,578.67,3,Eletronicos,PIX,46-50
F,B,12,0,0,377.68,2,Beleza,PIX,36-45
M,A,3,4,1,688.7,4,Roupas,Cartao_Debito,18-25
M,B,13,4,0,419.54,2,Esportes,Boleto,36-45
F,C,7,4,0,202.6,3,Roupas,PIX,26-35
F,A,14,0,1,659.93,5,Beleza,Cartao_Credito,51-55
M,B,10,1,0,151.34,1,Esportes,PIX,46-50
M,C,19,1,1,478.03,5,Eletronicos,Boleto,55+
F,B,9,2,1,320.37,2,Alimentos,Dinheiro,55+
F,B,6,4,0,308.32,4,Alimentos,Cartao_Debito,26-35
M,B,12,3,1,447.28,2,Casa,PIX,51-55
M,A,13,3,0,263.6,1,Casa,Cartao_Debito,36-45
M,A,9,2,1,548.57,3,Esportes,Cartao_Credito,46-50
M,B,11,4,0,417.41,2,Casa,PIX,46-50
M,B,9,4,0,278.56,3,Eletronicos,PIX,36-45
F,A,6,4,1,900.46,2,Beleza,Cartao_Credito,36-45
M,A,6,4,0,456.17,5,Brinquedos,Cartao_Credito,36-45
M,C,19,3,1,589.03,4,Casa,PIX,55+
F,A,14,0,1,943.84,5,Beleza,Cartao_Credito,51-55
F,C,2,1,1,934.59,4,Beleza,Dinheiro,36-45
M,B,20,3,0,571.28,4,Esportes,Cartao_Credito,55+
F,B,14,1,1,336.44,1,Alimentos,PIX,55+
F,A,1,0,0,171.09,3,Roupas,Cartao_Credito,0-17
F,A,15,4,0,456.69,5,Roupas,Boleto,46-50
M,B,12,2,0,778.02,1,Esportes,Boleto,36-45
M,B,19,4,0,498.99,3,Esportes,Cartao_Credito,51-55
F,A,10,1,0,51.07,1,Beleza,PIX,26-35
M,B,10,1,0,679.96,4,Alimentos,PIX,36-45
M,B,6,1,1,705.49,5,Casa,Cartao_Credito,46-50
M,A,6,1,0,336.73,1,Esportes,Cartao_Debito,18-25
F,B,12,2,0,729.98,5,Eletronicos,PIX,46-50
F,A,17,1,0,588.03,2,Alimentos,Cartao_Credito,46-50
M,B,18,4,1,267.39,5,Esportes,Boleto,51-55
F,A,16,1,1,865.04,1,Beleza,Cartao_Credito,55+
M,B,12,2,0,188.58,1,Alimentos,Boleto,51-55
F,B,10,4,0,389.81,4,Beleza,Boleto,26-35
F,B,7,2,1,367.16,4,Roupas,Cartao_Credito,51-55
M,B,16,0,1,245.85,1,Casa,PIX,55+
M,C,6,0,1,484.09,1,Eletronicos,Dinheiro,46-50
M,B,5,2,0,885.56,2,Casa,PIX,36-45
F,C,18,3,0,852.9,1,Casa,Cartao_Credito,51-55
F,A,12,4,0,622.78,4,Roupas,Cartao_Credito,26-35
F,B,7,0,0,145.83,4,Casa,Dinheiro,36-45
F,A,18,2,1,180.99,4,Casa,Cartao_Debito,55+
M,B,20,1,1,445.72,3,Alimentos,PIX,51-55
F,B,6,2,0,395.23,4,Beleza,PIX,0-17
M,C,10,2,1,299.21,3,Eletronicos,Boleto,36-45
M,B,10,1,0,1265.46,4,Casa,Cartao_Credito,26-35
F,B,14,0,1,429.88,3,Eletronicos,Boleto,51-55
F,A,19,0,0,558.61,4,Roupas,Cartao_Credito,55+
M,A,11,2,1,729.78,4,Alimentos,PIX,51-55
M,C,16,1,1,416.95,4,Esportes,Cartao_Credito,55+
F,A,12,1,0,1909.58,5,Roupas,Cartao_Credito,26-35
F,A,18,0,0,229.47,2,Casa,Dinheiro,51-55
F,C,8,0,1,280.44,5,Roupas,Dinheiro,51-55
M,C,8,0,1,229.13,1,Eletronicos,Cartao_Debito,36-45
M,B,8,1,0,1030.29,3,Esportes,Cartao_Credito,26-35
M,B,20,0,1,652.79,3,Alimentos,Cartao_Credito,55+
F,C,12,1,0,291.05,5,Beleza,PIX,36-45
F,A,3,1,1,240.25,1,Beleza,PIX,18-25
M,B,0,1,1,926.06,2,Brinquedos,Boleto,36-45
M,B,10,0,0,501.2,3,Eletronicos,PIX,36-45
M,C,16,0,0,940.35,5,Esportes,Cartao_Credito,51-55
F,C,10,4,1,389.13,3,Beleza,Cartao_Debito,46-50
F,B,11,3,1,548.35,4,Casa,Cartao_Credito,46-50
M,A,16,0,0,483.06,1,Brinquedos,Cartao_Credito,51-55
M,B,10,1,1,277.42,5,Alimentos,Dinheiro,51-55
F,A,19,1,1,370.0,4,Casa,Cartao_Credito,51-55
M,C,13,4,0,198.23,1,Esportes,Cartao_Debito,51-55
F,A,15,4,1,542.65,4,Casa,Cartao_Debito,55+
M,A,16,3,0,636.99,1,Casa,Cartao_Credito,51-55
M,C,13,0,0,730.77,3,Casa,Cartao_Debito,46-50
F,B,1,2,0,601.8,4,Beleza,Cartao_Credito,18-25
M,C,8,2,0,373.56,5,Esportes,Cartao_Credito,36-45
M,A,2,3,0,1023.7,1,Brinquedos,Cartao_Credito,0-17
M,C,10,4,1,689.1,2,Esportes,Cartao_Debito,55+
M,A,3,1,0,928.09,4,Roupas,Cartao_Credito,18-25
M,A,10,2,1,963.69,2,Alimentos,Cartao_Credito,55+
M,B,7,1,0,374.14,4,Eletronicos,Cartao_Debito,46-50
M,A,0,1,1,509.14,1,Brinquedos,Cartao_Debito,0-17
M,B,2,1,1,642.1,1,Esportes,Cartao_Credito,26-35
F,A,10,3,0,202.45,3,Roupas,Cartao_Credito,36-45
F,A,1,2,0,205.17,4,Beleza,Cartao_Debito,18-25
M,C,17,3,1,185.01,2,Alimentos,Cartao_Debito,55+
M,A,15,3,0,378.09,5,Esportes,Cartao_Credito,46-50
M,B,14,1,1,330.3,5,Alimentos,Boleto,55+
F,C,3,4,1,170.48,1,Beleza,PIX,46-50
F,A,16,0,1,441.25,2,Alimentos,Cartao_Debito,55+
M,C,13,4,0,380.93,3,Eletronicos,Cartao_Debito,26-35
M,A,8,0,0,820.03,3,Esportes,Cartao_Credito,46-50
M,B,0,1,1,1349.9,2,Esportes,Cartao_Debito,18-25
M,A,11,4,1,530.53,3,Alimentos,Cartao_Debito,51-55
F,C,16,3,1,265.61,5,Alimentos,Boleto,51-55
M,B,0,1,1,594.69,2,Eletronicos,Cartao_Credito,26-35
M,B,1,4,0,405.69,2,Esportes,Cartao_Credito,0-17
M,C,8,0,0,349.3,4,Casa,Dinheiro,26-35
M,B,10,3,1,240.58,3,Esportes,PIX,46-50
M,C,9,2,0,305.35,4,Casa,Cartao_Debito,46-50
F,C,8,1,1,362.61,4,Beleza,PIX,46-50
M,C,5,4,0,653.58,4,Esportes,Cartao_Credito,26-35
F,C,1,3,0,548.19,4,Esportes,Dinheiro,18-25
M,C,0,0,0,1206.34,4,Esportes,Boleto,0-17
F,A,2,0,1,604.62,3,Beleza,Cartao_Credito,18-25
F,C,14,0,1,520.39,3,Casa,PIX,51-55
F,C,16,2,1,335.71,2,Roupas,Dinheiro,55+
F,B,9,2,0,216.49,3,Alimentos,PIX,46-50
F,A,1,3,0,286.59,4,Beleza,Dinheiro,0-17
F,C,8,3,1,265.1,4,Roupas,PIX,51-55
F,A,20,0,1,86.79,4,Alimentos,Boleto,55+
M,B,5,2,0,220.26,2,Eletronicos,PIX,36-45
M,B,10,3,0,1055.03,4,Beleza,Cartao_Debito,36-45
M,A,11,4,1,503.29,3,Alimentos,PIX,55+
F,C,6,1,0,321.85,2,Beleza,Boleto,26-35
M,A,9,0,1,512.39,1,Casa,Boleto,51-55
M,B,9,0,0,124.96,2,Eletronicos,PIX,36-45
F,C,9,1,1,477.83,4,Alimentos,Dinheiro,46-50
M,B,15,2,1,868.26,2,Alimentos,Cartao_Credito,55+
M,C,12,1,1,375.15,1,Eletronicos,Dinheiro,55+
M,A,1,0,1,139.32,2,Brinquedos,Cartao_Credito,36-45
M,C,0,1,0,314.7,5,Esportes,PIX,18-25
M,C,8,1,0,869.19,1,Esportes,Boleto,36-45
M,A,19,2,1,471.15,1,Casa,PIX,46-50
M,B,0,0,0,172.26,3,Eletronicos,PIX,0-17
M,B,1,3,1,1670.0,2,Brinquedos,Cartao_Credito,36-45
M,B,14,2,1,190.13,5,Esportes,PIX,55+
F,C,9,1,0,348.71,2,Beleza,Cartao_Debito,46-50
M,B,4,4,0,216.5,3,Eletronicos,Cartao_Debito,18-25
F,B,4,3,1,216.68,2,Alimentos,Dinheiro,36-45
F,A,13,0,0,307.57,2,Brinquedos,PIX,51-55
M,B,10,0,0,590.93,2,Eletronicos,Cartao_Credito,46-50
M,C,13,0,0,875.08,2,Esportes,PIX,46-50
M,A,5,2,1,319.99,4,Alimentos,Cartao_Credito,26-35
F,B,11,1,1,220.06,4,Alimentos,PIX,55+
F,A,18,1,0,537.64,1,Casa,Cartao_Credito,55+
F,C,6,2,1,547.18,3,Beleza,Cartao_Credito,36-45
M,B,8,2,1,466.02,2,Esportes,PIX,46-50
F,B,3,0,0,476.01,5,Roupas,PIX,0-17
M,A,13,0,0,377.08,1,Esportes,Cartao_Credito,46-50
F,B,0,3,0,427.9,3,Eletronicos,Dinheiro,0-17
M,C,5,4,0,361.77,2,Eletronicos,Boleto,18-25
F,B,14,4,0,766.74,2,Alimentos,PIX,51-55
F,B,0,4,0,1536.21,5,Beleza,Boleto,0-17
M,C,20,2,1,449.35,3,Casa,Boleto,55+
F,B,8,4,1,401.84,2,Roupas,Dinheiro,46-50
M,B,8,4,1,470.37,5,Eletronicos,Cartao_Debito,36-45
F,B,11,4,0,271.85,4,Roupas,Cartao_Debito,36-45
M,A,13,0,0,638.41,1,Eletronicos,Cartao_Debito,36-45
F,C,9,0,1,525.69,3,Roupas,Dinheiro,51-55
M,C,18,2,0,313.47,3,Esportes,Dinheiro,55+
F,C,20,2,1,693.15,3,Casa,PIX,55+
F,C,4,4,1,408.05,2,Beleza,Dinheiro,46-50
F,B,14,1,1,225.42,5,Casa,Dinheiro,55+
F,A,6,4,0,498.18,5,Casa,Cartao_Debito,26-35
F,B,20,4,0,465.07,1,Roupas,Cartao_Credito,55+
F,C,5,4,0,717.84,5,Eletronicos,Cartao_Debito,26-35
M,C,6,0,1,664.43,5,Brinquedos,Cartao_Credito,36-45
F,B,14,1,0,377.84,2,Casa,Cartao_Credito,36-45
M,B,16,1,1,303.91,3,Casa,PIX,55+
F,C,2,3,1,403.85,1,Casa,Cartao_Credito,36-45
M,C,11,3,0,501.69,2,Esportes,Boleto,36-45
F,C,7,2,0,539.29,2,Casa,Cartao_Debito,46-50
F,B,12,0,0,483.4,5,Eletronicos,PIX,26-35
M,A,11,2,0,382.05,1,Casa,Cartao_Credito,46-50
M,B,20,3,1,733.69,2,Alimentos,PIX,55+
F,B,19,2,1,269.19,3,Esportes,PIX,51-55
F,C,13,1,0,1785.84,5,Roupas,PIX,51-55
M,B,14,2,1,637.68,5,Casa,Cartao_Debito,55+
F,B,18,3,0,205.1,5,Alimentos,PIX,55+
F,B,3,2,0,450.85,2,Brinquedos,PIX,26-35
M,B,15,4,0,641.37,2,Eletronicos,Cartao_Debito,51-55
M,B,16,1,0,327.14,3,Esportes,Dinheiro,51-55
M,A,2,3,1,164.5,2,Esportes,Cartao_Debito,36-45
F,C,18,4,1,216.28,1,Casa,Boleto,55+
M,B,14,1,1,558.5,5,Esportes,Cartao_Credito,51-55
F,B,7,1,0,140.78,1,Beleza,PIX,18-25
F,A,10,0,1,169.08,1,Roupas,Cartao_Debito,51-55
M,B,10,1,1,556.74,5,Casa,Cartao_Credito,51-55
F,C,19,0,1,353.0,4,Casa,PIX,55+
F,C,20,3,1,265.74,4,Casa,Dinheiro,55+
M,A,16,0,0,299.81,1,Esportes,PIX,46-50
M,C,13,3,0,166.92,2,Esportes,Boleto,46-50
M,C,2,2,0,539.52,2,Esportes,Cartao_Credito,18-25
M,A,19,4,0,248.66,4,Alimentos,PIX,51-55
M,A,2,1,0,292.52,3,Roupas,Cartao_Credito,18-25
F,A,3,1,0,496.74,2,Eletronicos,Cartao_Credito,18-25
M,C,1,1,0,345.86,4,Esportes,PIX,26-35
M,A,19,2,0,264.33,4,Eletronicos,PIX,51-55
F,B,10,1,0,122.28,4,Casa,Dinheiro,46-50
F,C,4,0,0,502.93,1,Beleza,Cartao_Debito,26-35
F,C,1,4,1,423.01,4,Beleza,Cartao_Debito,36-45
F,B,8,3,0,295.77,2,Eletronicos,PIX,26-35
M,C,15,0,0,216.49,2,Brinquedos,PIX,46-50
M,A,20,3,1,406.53,5,Eletronicos,Cartao_Debito,55+
F,C,11,1,0,538.23,3,Beleza,Cartao_Debito,26-35
F,A,12,0,1,427.8,4,Beleza,PIX,46-50
F,A,17,2,0,1077.97,2,Beleza,Boleto,55+
M,C,18,3,0,615.76,5,Eletronicos,Cartao_Credito,55+
F,A,5,0,0,378.28,2,Alimentos,Dinheiro,26-35
F,A,20,1,0,628.27,1,Roupas,Cartao_Debito,51-55
M,B,10,4,0,415.38,2,Alimentos,Cartao_Credito,36-45
F,B,19,1,1,414.52,1,Esportes,Dinheiro,55+
F,A,2,0,0,878.15,3,Eletronicos,Cartao_Credito,0-17
M,B,2,2,1,235.37,1,Esportes,Dinheiro,26-35
M,C,18,3,0,409.11,2,Eletronicos,Dinheiro,36-45
F,C,14,4,1,823.72,4,Alimentos,Boleto,55+
M,A,3,3,1,485.6,1,Beleza,PIX,26-35
M,B,18,0,1,323.3,3,Alimentos,Dinheiro,55+
M,C,2,4,1,144.94,4,Esportes,PIX,26-35
M,A,14,3,1,103.32,3,Esportes,Boleto,51-55
F,A,4,3,1,1402.08,1,Beleza,Cartao_Credito,46-50
F,A,1,4,0,485.46,1,Esportes,PIX,26-35
M,B,16,3,1,284.17,5,Casa,Dinheiro,55+
F,A,17,1,0,497.54,4,Esportes,Cartao_Credito,55+
F,C,2,2,1,228.47,2,Roupas,PIX,26-35
M,C,1,2,0,330.72,5,Eletronicos,Dinheiro,0-17
F,A,12,2,1,229.39,1,Casa,Dinheiro,51-55
M,B,0,3,0,172.78,1,Eletronicos,Dinheiro,0-17
F,A,15,3,1,114.09,5,Beleza,PIX,55+
F,A,19,0,0,154.69,4,Roupas,Cartao_Debito,55+
F,C,15,2,1,744.54,3,Alimentos,Cartao_Debito,46-50
M,B,4,0,0,223.16,2,Eletronicos,PIX,18-25
F,C,3,2,0,556.09,5,Roupas,Boleto,36-45
M,B,14,2,0,716.22,4,Esportes,Cartao_Debito,46-50
M,A,1,1,0,407.46,3,Brinquedos,Cartao_Credito,0-17
M,B,11,4,0,337.26,2,Casa,Cartao_Debito,36-45
F,A,9,1,0,436.95,2,Beleza,Boleto,26-35
M,C,15,0,0,314.2,3,Esportes,Dinheiro,46-50
F,B,4,1,0,830.76,4,Casa,Cartao_Credito,18-25
F,B,16,3,1,1243.79,5,Roupas,Cartao_Credito,55+
M,B,14,0,1,962.84,3,Esportes,Cartao_Credito,55+
M,B,5,2,0,110.95,2,Casa,PIX,26-35
M,C,7,2,0,310.38,3,Eletronicos,Dinheiro,0-17
F,A,1,4,0,404.44,3,Roupas,Cartao_Credito,0-17
F,A,9,0,1,532.63,2,Roupas,Cartao_Credito,46-50
M,A,5,0,1,143.11,1,Esportes,PIX,46-50
F,B,2,2,1,141.73,2,Brinquedos,PIX,36-45
M,B,11,0,0,883.66,1,Beleza,Cartao_Debito,26-35
F,A,11,3,0,288.45,1,Beleza,PIX,36-45
F,B,1,1,0,165.27,5,Beleza,Cartao_Debito,18-25
